Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kong, Lulu; Xu, Zichen; Zhang, Qiaoying; Wang, Yuhao; ",Carbon footprint and service coverage tradeoffs in geo-diverse sites,Future Generation Computer Systems,143,,1-14,2023,Elsevier
"Li, Wei; Chen, Tuochao; Ou, Zhe; Wen, Xin; Xu, Zichen; Xu, Chenren; ",RetroFlex: enabling intuitive human–robot collaboration with flexible retroreflective tags,CCF Transactions on Pervasive Computing and Interaction,4,4,437-451,2022,Springer
"Xu, Zichen; Du, Yunxiao; Zhang, Kanqi; Huang, Jiacheng; Liu, Jie; Gao, Jingxiong; Stewart, Christopher; ",Cost-effective BlackWater Raft on Highly Unreliable Nodes at Scale Out,arXiv preprint arXiv:2203.07920,,,,2022,
"Jiang, Wenjing; Xu, Zichen; Gao, Cuiying; Gu, Jingyun; Wang, Yuhao; ",Cost risk analysis for instance recommendation in a sustainable Cloud‐cyber‐physical system framework,Software: Practice and Experience,51,11,2317-2336,2021,Wiley Online Library
"Xu, Zichen; Bai, Gele; Cui, Ao; Wang, Shasha; ",Power-aware throughput control for containerized relational operation,CCF Transactions on High Performance Computing,3,1,70-84,2021,Springer
"Platform, Vehicle Simulation; ",Leavs: A Learning-Enabled Autonomous,"Cognitive Systems and Signal Processing: 4th International Conference, ICCSIP 2018, Beijing, China, November 29-December 1, 2018, Revised Selected Papers, Part II",1006,,93,2019,Springer
"Xu, Zichen; Tu, Yicheng; Wang, Xiaorui; ","Model Evaluation of PAT, a comprehensive study",,,,,2012,Technical report. http://goo. gl/Cd2sN (Link is shortened)
"Hu, Haichuan; Xu, Zichen; Wang, Yuhao; Liu, Fangming; ",Fast and Scalable Gate-Level Simulation in Massively Parallel Systems,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),,,1-9,2023,IEEE
"Lou, Junsheng; Xu, Zichen; ",Hydis: A Hybrid Consistent KVS with Effective Sync Among Replicas,International Symposium on Advanced Parallel Processing Technologies,,,147-161,2023,Springer
"Li, Xiaoyong; Gu, Jingyun; Tan, Guolong; Jiang, Wenjing; Cui, Ao; Shu, Leiming; Ren, Kaijun; Zhu, Haoyang; Xu, Zichen; ",Distributed Processing of Ocean Spatiotemporal Data: A Survey,,,,,2022,
"Zhu, Qiang; Zhu, Xingquan; Tu, Yicheng; Xu, Zichen; Kumar, Anand; ",Proceedings of the 33rd International Conference on Scientific and Statistical Database Management,,,,,2021,ACM
"XU, Zi-chen; CUI, Ao; WANG, Yu-hao; LIU, Tao; ",A containerization method for reinforcement learning based on RISC-V architecture,Computer Engineering & Science,43,02,266,2021,
"Xu, Zichen; Cheng, Jie; Wang, Yuhao; Rao, Hong; ",Developing (Almost) free distributed system labs using container-based technique,Proceedings of the ACM Turing Celebration Conference-China,,,101-106,2020,
"Fu, Yan; Wang, Shasha; Dong, Yucong; Wu, Dan; Wang, Juan; Xu, Zichen; ",Fair routing in MoE for distributed spatial data: a combinatorial multi-armed bandit solution,GeoInformatica,,,1-22,2025,Springer
"Pham, Minh; Yuan, Yongke; Li, Hao; Mou, Chengcheng; Tu, Yicheng; Xu, Zichen; Meng, Jinghan; ",Dynamic Buffer Management in Massively Parallel Systems: The Power of Randomness,ACM Transactions on Parallel Computing,12,1,1-33,2025,"ACM New York, NY"
"Xu, Zichen; Dong, Yucong; Lou, Junsheng; Wang, Yangyang; Fu, Yan; ",Edge AI-driven neural network predictions for replica sync optimization,Applied Soft Computing,165,,112083,2024,Elsevier
"Zeng, Tao; Xu, Zichen; Wu, Dan; Li, Xiaoling; Liu, Biyong; Hu, Haichuan; Tan, Shuang; Tan, Yusong; Xu, Chenren; Stewart, Christopher; ",Exploring nonintrusive measurements of spatio‐temporal portrait of microservices,Software: Practice and Experience,54,10,2025-2041,2024,Wiley Online Library
"WEN, Xin; ZENG, Tao; LI, Chun-bo; XU, Zi-chen; ",A switch method of model inference serving oriented to serverless computing,Computer Engineering & Science,46,07,1210,2024,
"Fu, Yan; Xiao, Tiaozong; Xu, Zichen; ",Monitoring Rubbish on Roads in Real Time by Deep Neural Network,"Journal of Circuits, Systems and Computers",33,10,2450178,2024,World Scientific
"Xu, Ke; Yi, Hanxiao; Xu, Zichen; Wu, Dan; ",Data-driven Contribution-based Disciplinary Assessment System,Proceedings of the ACM Turing Award Celebration Conference-China 2024,,,42-47,2024,
"Li, Jiangbo; Xu, Zichen; Pham, Minh; Tu, Yicheng; Zhou, Qihe; ",A Comparative Study of Intersection-Based Triangle Counting Algorithms on GPUs,2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),,,1070-1081,2024,IEEE
"Li, Xiaoling; Zeng, Tao; Liu, Biyong; Hu, Haichuan; Xu, Zichen; Tan, Shuang; Tan, Yusong; Xu, Chenren; ",Nonintrusive Measurement on Temporal and Spatial Features of Microservice Inferences,"2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)",,,16-24,2022,IEEE
"Zou, Wenting; Li, Li; Xu, Zichen; Xu, Chengzhong; ",DEAL: Decremental Energy-Aware Learning in a Federated System,arXiv preprint arXiv:2102.03051,,,,2021,
"Yang, Yalin; Xu, Linjie; Xu, Zichen; Wang, Yuhao; ",Data-Intensive Computing Acceleration with Python in Xilinx FPGA,"Data Quality and Trust in Big Data: 5th International Workshop, QUAT 2018, Held in Conjunction with WISE 2018, Dubai, UAE, November 12–15, 2018, Revised Selected Papers 5",,,111-124,2019,Springer
"Gu, Jingyun; Xu, Zichen; Gao, Cuiying; ",RISC: Risk Assessment of Instance Selection in Cloud Markets,"Algorithms and Architectures for Parallel Processing: 18th International Conference, ICA3PP 2018, Guangzhou, China, November 15-17, 2018, Proceedings, Part I 18",,,59-74,2018,Springer
"Wang, Peian; Gu, Jinyun; Xu, Zichen; ",Exploring Fast Artistic Style Merging on Heterogenous Architecture,2017 IEEE International Conference on Autonomic Computing (ICAC),,,75-76,2017,IEEE
"Xu, Zichen; ",Energy Modeling and Management for Data Services in Multi-Tier Mobile Cloud Architectures,,,,,2016,The Ohio State University
"Xu, Zichen; ",Power-Performance Tradeoffs in Database Systems,,,,,2009,
"Xu, Zichen; Tu, Yicheng; Wang, Yefu; Wang, Xiaorui; ",Energy Modeling in Database Management Systems,,,,,2012,
